JCAT,Name,TDate,Program,Category,Result
S00807,Cosmos 32,1964 Jun 18 1035?,Zenit-2 A,IMG,U
S00811,[Starflash],1964 Jun 19,CORONA ARGON,IMG,U
S00812,,1966 Feb 16,P35,MET,S
S00813,,1965 Oct 15,P35,MET,S
S00814,,1964 Jun 28,CORONA J,IMG,U
S00816,Cosmos 33,1964 Jul  1 0840?,Zenit-2 A,IMG,U
S00822,Cosmos 34,1964 Jul  9 0935?,Zenit-4,IMG,U
S00824,,1964 Jul 19,SAMOS F-2,SIG,U
S00825,,1964 Jul  8,AFP-206,IMG,U
S00826,,1964 Oct  2,EHH A,SIG,U
S00828,,1964 Jul 18,CORONA J,IMG,U
S00829,Electron 3,1965?,ObjectD,SCI,U
S00830,Electron 4,1965 Feb?,ObjectD,SCI,U
S00833,Cosmos-35,1964 Jul 23 0955?,Zenit-2 A,IMG,U
S00836,,1969 Dec,Vela,EW,U
S00837,,1969 Dec,Vela,EW,U
S00838,,1964 Nov 29,TRS II,SCI,U
S00842,[Ranger VII],1964 Jul 31,Ranger III,PLAN,U
S00844,Cosmos-36,1965 Feb 28,DS-P1-Yu A,CAL,U
S00846,,1964 Aug 14,CORONA J,IMG,U
S00848,Cosmos-37,1964 Aug 22 0700?,Zenit-2 A,IMG,U
S00850,,1964 Aug 18,AFP-206,IMG,U
S00851,,1965 Feb?,EHH A,SCI,U
S00853,Cosmos-38,1964 Aug 18,Strela-1,COM,S
S00854,Cosmos-39,1964 Aug 18,Strela-1,COM,S
S00855,Cosmos-40,1964 Aug 18,Strela-1,COM,S
S00858,[Syncom III],1974 Dec 29,Syncom,COM,S
S00861,,1964 Aug 27,CORONA ARGON,IMG,U
S00864,Cosmos-42,1964 Sep?,Strela-1,COM,S
S00867,Cosmos-43,1964 Sep?,Strela-1,COM,S
S00869,Cosmos-41,1965 May 26,Molniya-1,COM,U
S00870,[Explorer 20],1966 Jul,Explorer IE,SCI,S
S00872,[Nimbus 1],1964 Dec   8,Nimbus,MET,U
S00876,Cosmos-44,1964 Sep?,Meteor A,MET,S
