LV_Name,LV_Family,LV_Manufacturer,LV_Max_Stage,Length,Diameter,Launch_Mass,LEO_Capacity,TO_Thrust,Class
Sonda 4,S-40                ,INPE,2, 11.0 , 1.01 ,     7.2 ,       0 ,     203 ,R
VS-40,S-40                ,INPE,2,  9.5 , 1.01 ,     6.8 ,       0 ,     190 ,R
VS-40M,S-40                ,INPE,2,  9.5 , 1.01 ,     6.8 ,       0 ,     190 ,R
VLS-1,S-40                ,INPE,3, 19.5 , 1.01 ,    50.7 ,     120 ,    1172 ,O
Temp,Temp                ,MIT/VOTK,1, 12.4 , 1.01 ,     9.7 ,       0 ,,M
Temp-S,Temp                ,MIT/VOTK,1, 12.4 , 1.01 ,     9.3 ,       0 ,,M
Astra Rocket 1.0,Astra               ,ASTRV,2, 10.0 , 1.00 ,     6.0 ,       0 ,,X
Astra Rocket 2.0,Astra               ,ASTRV,2, 10.0 , 1.00 ,     6.0 ,       0 ,,X
Orion LAS,Orion.LAS           ,OSCC,1, 11.6 , 1.00 ,     6.1 ,       0 ,,A
Agni TD,ASLV                ,DRDO,2, 21.0 , 1.00 ,    19.0 ,       0 ,     503 ,M
Agni P,ASLV                ,DRDO,2, 17.2 , 1.00 ,    24.0 ,       0 ,,M
Agni 1,ASLV                ,DRDO,1, 15.0 , 1.00 ,    12.0 ,       0 ,     503 ,M
Agni 2,ASLV                ,DRDO,2, 20.0 , 1.00 ,    16.0 ,       0 ,     503 ,M
Agni 2P,ASLV                ,DRDO,2, 20.0 , 1.00 ,    16.0 ,       0 ,     503 ,M
Agni 4,ASLV                ,DRDO,2, 20.0 , 1.00 ,    16.0 ,       0 ,     503 ,M
ASLV,ASLV                ,ISRO,4, 23.6 , 1.00 ,    39.0 ,     150 ,    1383 ,O
SLV-3,ASLV                ,ISRO,4, 23.6 , 1.00 ,    17.0 ,      42 ,     503 ,O
HS9,ASLV                ,ISRO,1, 19.0 , 1.00 ,     9.0 ,       0 ,     503 ,R
KSR-III,KSR-3               ,KARI,1, 13.5 , 1.00 ,     5.6 ,       0 ,     126 ,R
HANBIT-TLV,HANBIT,INNOSP,1, 16.3 , 1.00 ,     8.4 ,       0 ,,X
Vesta,Vesta               ,LRBA,1, 10.2 , 1.00 ,     6.0 ,       0 ,     140 ,R
Talon-A,Talon,STRATO,1,  8.5 , 1.00 ,     6.0 ,       0 ,      22 ,A
DF-15,DF-15               ,ARMT,1,  9.1 , 1.00 ,     6.2 ,       0 ,,B
Lihong-1,DF-15               ,ZKYT,1,  9.3 , 1.00 ,     7.0 ,       0 ,,B
Shaheen 1A,DF-15               ,PKNDC,1,  9.1 , 1.00 ,     6.2 ,       0 ,,B
Shaheen 1,DF-15               ,PKNDC,1,  9.1 , 1.00 ,     6.2 ,       0 ,,B
Dezful,Dezful,ANSAL,1, 10.3 , 1.00 ,     5.0 ,       0 ,      90 ,B
Kheibar Shekan,Dezful,IR,1, 14.0 , 1.00 ,    20.0 ,       0 ,,M
Fattah-1,Dezful,IR,1, 14.0 , 1.00 ,    20.0 ,       0 ,,M
V-1000,V-1000              ,SKB30,1, 14.5 , 1.00 ,     8.8 ,       0 ,,A
1Ya2TA,V-1000              ,SKB30,1, 14.5 , 1.00 ,     8.8 ,       0 ,,R
Oka,Oka                 ,KBM,1,  7.5 , 0.92 ,     4.7 ,       0 ,,B
Iskander,Oka                 ,KBM,1,  7.3 , 0.92 ,     3.8 ,       0 ,,A
Kinzhal,Oka                 ,KBM,1,  7.3 , 0.92 ,     3.8 ,       0 ,,A
Bukguekseong-6,Oka                 ,KPA,1,  8.0 , 0.88 ,    14.0 ,       0 ,,M
Hwasong-11Ga,Oka                 ,KPA,1,  7.3 , 0.92 ,     4.0 ,       0 ,,M
Hwasong-11Ka,Oka                 ,KPA,1,  7.3 , 0.92 ,     4.0 ,       0 ,,M
Hwasong-11Da,Oka                 ,KPA,1,  7.3 , 0.92 ,     4.0 ,       0 ,,M
Hwasong-11Da-4.5,Oka                 ,KPA,1,  7.3 , 0.92 ,     4.0 ,       0 ,,M
Hwasong-11Ra,Oka                 ,KPA,1,  7.3 , 0.92 ,     4.0 ,       0 ,,M
Hwasong-11E,Oka                 ,KPA,1,  7.3 , 0.92 ,     4.0 ,       0 ,,M
Iskander-M,Oka                 ,KBM,1,  7.3 , 0.92 ,     3.8 ,       0 ,,A
Iskander-E,Oka                 ,KBM,1,  7.3 , 0.92 ,     3.8 ,       0 ,,A
Falstaff,Stonechat           ,RAE/RORD,1,  5.3 , 0.92 ,     5.1 ,       0 ,     240 ,V
Black Knight,BlackKnight         ,SROE,1, 10.2 , 0.91 ,     5.4 ,       0 ,      75 ,V
Nike Zeus A,Spartan             ,DACC/WELEC,2, 13.3 , 0.91 ,     5.0 ,       0 ,    2002 ,A
Skybolt ALBM,Skybolt             ,DAC,2, 12.0 , 0.91 ,     5.1 ,       0 ,     111 ,M
IRCPS,IRCPS,LMPLM,2,  7.3 , 0.88 ,     5.0 ,       0 ,,M
Ghaznavi,DF-11               ,PKPMO,1,  9.1 , 0.88 ,     6.2 ,       0 ,,B
OS-X0,DF-11               ,LYK,1,  8.4 , 0.88 ,     4.6 ,       0 ,      90 ,B
OS-X1,DF-11               ,LYK,1,  8.4 , 0.88 ,     4.6 ,       0 ,      90 ,B
OS-M1,DF-11               ,LYK,4, 19.0 , 0.88 ,    20.0 ,       0 ,      90 ,O
OS-X6B,DF-11               ,LYK,1,  9.4 , 0.88 ,     5.0 ,       0 ,,R
DF-11,DF-11               ,SANJ,1, 11.3 , 0.88 ,     6.3 ,       0 ,      90 ,B
DF-11M,DF-11               ,SANJ,1, 13.3 , 0.88 ,     8.0 ,       0 ,      90 ,B
Elbrus,R-11                ,MAK,1, 11.3 , 0.88 ,     6.3 ,       0 ,      90 ,B
Shahab 1,R-11                ,MAK,1, 11.3 , 0.88 ,     6.3 ,       0 ,      90 ,B
Shahab 2,R-11                ,MAK,1, 11.3 , 0.88 ,     6.1 ,       0 ,      90 ,B
Qiam-1,R-11                ,MAK,1, 10.6 , 0.88 ,     6.1 ,       0 ,      90 ,B
Scud B,R-11                ,MAK,1, 11.3 , 0.88 ,     6.3 ,       0 ,      90 ,B
R-17,R-11                ,VOTK/MAK,1,  9.0 , 0.88 ,     5.4 ,       0 ,      93 ,B
R-17E,R-11                ,VOTK/MAK,1,  9.0 , 0.88 ,     5.4 ,       0 ,      93 ,B
R-17VTO,R-11                ,VOTK/MAK,1,  9.0 , 0.88 ,     5.4 ,       0 ,      93 ,B
